date_time,maxtempC,mintempC,precipMM,sunHour,uvIndex,moon_illumination,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,pressure,visibility,tempC_first_half,tempC_second_half,humidity_first_half,humidity_second_half,windspeedKmph_first_half,windspeedKmph_second_half,winddirDegree_first_half,winddirDegree_second_half,cloudcover_first_half,cloudcover_second_half
2009-01-01,28.0,15.0,0.0,208.8,6.0,31.0,13.42,23.42,23.54,23.42,13.21,1013.29,10.0,20.17,21.33,63.17,50.58,5.83,10.17,133.83,85.17,0.42,3.33
2009-01-02,28.0,16.0,0.0,208.8,6.0,38.0,13.75,22.96,23.12,22.83,14.08,1014.33,10.0,20.5,21.5,60.92,55.83,8.25,9.5,119.83,95.75,2.25,9.83
2009-01-03,27.0,16.0,0.0,208.8,6.0,45.0,15.04,21.83,21.83,21.58,15.83,1015.08,10.0,20.42,21.42,71.75,66.0,9.42,10.58,126.83,135.5,13.58,15.33
2009-01-04,28.0,16.0,0.0,208.8,6.0,52.0,14.0,22.75,23.25,22.62,13.33,1013.75,10.0,20.5,21.58,68.0,54.25,7.17,9.0,142.83,130.08,5.83,5.5
2009-01-05,28.0,15.0,0.0,208.8,6.0,60.0,12.0,23.0,23.12,23.25,15.54,1011.92,10.0,20.5,21.5,58.33,48.58,8.0,11.08,163.33,134.33,0.83,2.83
2009-01-06,28.0,16.0,0.0,208.8,6.0,67.0,13.04,22.0,22.38,22.04,20.04,1012.21,9.0,20.75,22.08,68.5,52.75,11.83,13.5,143.67,132.92,6.67,4.75
2009-01-07,28.0,16.0,0.0,208.8,6.0,74.0,12.75,22.04,22.71,21.92,20.12,1013.88,10.0,20.67,21.33,63.67,55.92,12.92,13.75,136.25,120.25,3.42,2.67
2009-01-08,28.0,16.0,0.0,208.8,6.0,82.0,14.21,21.62,21.62,21.54,19.88,1015.96,10.0,20.5,21.58,69.58,63.67,12.5,14.0,120.92,119.5,7.58,8.58
2009-01-09,29.0,17.0,0.0,208.8,6.0,89.0,15.42,23.54,23.79,23.12,20.21,1016.54,9.0,21.42,24.0,73.17,56.58,13.08,14.58,130.42,109.33,10.0,23.25
2009-01-10,28.0,18.0,0.0,208.8,6.0,96.0,13.0,22.71,22.88,22.75,18.54,1016.08,10.0,21.5,22.42,64.58,49.58,13.58,10.25,132.58,112.17,20.92,4.75
2009-01-11,29.0,17.0,0.0,208.8,6.0,100.0,14.58,23.08,23.58,22.92,17.33,1016.29,9.0,21.33,22.83,71.33,54.17,12.0,10.58,139.33,137.67,9.08,10.42
2009-01-12,29.0,17.0,0.0,276.0,6.0,89.0,13.33,23.04,23.5,23.0,18.88,1017.83,10.0,21.67,22.75,64.75,52.0,10.67,13.67,129.75,123.58,4.42,5.92
2009-01-13,28.0,17.0,0.0,276.0,6.0,82.0,13.29,22.79,23.04,22.62,21.92,1018.75,10.0,21.5,22.67,64.75,52.17,17.0,12.0,132.67,84.17,8.0,11.75
2009-01-14,28.0,17.0,0.0,276.0,6.0,75.0,12.79,23.17,23.46,23.08,16.67,1018.67,10.0,21.5,22.25,64.5,46.75,10.58,11.33,134.5,84.33,5.17,6.83
2009-01-15,28.0,16.0,0.0,276.0,6.0,68.0,13.88,22.92,23.38,22.71,16.33,1018.04,10.0,20.92,22.25,66.08,54.25,12.0,10.67,140.83,118.83,4.42,11.75
2009-01-16,28.0,16.0,0.0,276.0,6.0,60.0,13.75,23.17,23.58,22.96,15.29,1017.62,10.0,21.0,22.67,64.25,53.92,8.58,10.92,142.42,111.42,7.08,6.42
2009-01-17,29.0,16.0,0.0,276.0,6.0,53.0,14.21,23.54,23.92,23.46,13.75,1016.12,9.0,21.0,22.75,70.42,48.5,8.75,9.0,121.08,93.92,5.42,6.08
2009-01-18,29.0,16.0,0.0,276.0,6.0,46.0,13.58,24.17,25.0,24.21,13.21,1014.92,10.0,21.08,22.75,62.33,47.17,8.33,9.25,142.25,88.42,0.92,3.33
2009-01-19,30.0,16.0,0.0,276.0,6.0,38.0,11.0,24.17,25.08,24.54,15.21,1014.33,10.0,21.33,22.92,48.17,42.08,9.0,10.75,86.42,79.25,0.17,0.83
2009-01-20,30.0,15.0,0.0,278.4,6.0,31.0,12.96,24.71,25.75,24.92,11.71,1014.08,10.0,21.25,22.92,54.0,47.25,7.5,8.25,107.75,82.5,0.25,1.58
2009-01-21,30.0,15.0,0.0,278.4,6.0,24.0,11.75,24.58,25.5,25.0,12.38,1013.79,10.0,21.58,23.08,53.92,39.0,6.75,9.67,78.42,61.75,0.17,0.83
2009-01-22,30.0,15.0,0.0,278.4,6.0,17.0,7.46,24.25,24.54,24.96,13.17,1012.58,10.0,21.42,22.42,42.0,29.83,7.17,9.75,77.33,62.5,0.0,0.0
2009-01-23,31.0,15.0,0.0,278.4,6.0,9.0,6.58,24.25,24.42,24.88,14.42,1011.75,10.0,21.5,23.08,29.75,37.08,9.0,9.42,59.75,90.33,0.0,0.0
2009-01-24,32.0,15.0,0.0,278.4,6.0,2.0,13.0,25.54,26.25,26.0,14.42,1011.33,10.0,22.25,24.5,51.92,44.08,8.5,10.5,99.75,139.17,0.0,0.0
2009-01-25,33.0,16.0,0.0,278.4,6.0,0.0,12.46,25.71,26.54,26.0,15.5,1012.25,10.0,22.92,24.92,55.5,40.17,7.75,11.5,164.08,139.58,1.0,3.83
2009-01-26,32.0,17.0,0.0,278.4,6.0,0.0,12.71,25.71,26.67,26.08,17.83,1012.33,10.0,23.25,24.92,51.33,41.83,9.33,13.83,143.75,137.25,0.25,1.0
2009-01-27,32.0,17.0,0.0,278.4,6.0,5.0,7.21,24.88,25.42,25.75,17.71,1012.67,10.0,23.33,24.17,36.92,30.17,11.25,11.08,135.42,135.33,0.0,0.0
2009-01-28,33.0,17.0,0.0,278.4,6.0,12.0,7.67,25.54,26.04,26.25,18.42,1012.12,10.0,23.58,25.0,36.67,33.0,10.75,12.25,146.67,133.17,0.0,0.0
2009-01-29,33.0,18.0,0.0,278.4,6.0,20.0,7.12,25.46,26.29,26.33,17.54,1012.33,10.0,24.5,25.33,38.08,27.33,11.0,11.08,134.25,131.17,4.92,3.42
2009-01-30,33.0,18.0,0.0,278.4,6.0,27.0,8.83,25.71,25.96,26.29,16.96,1012.29,10.0,24.0,25.58,34.58,36.25,9.33,11.42,147.5,131.5,8.33,0.0
